id,division,gender,maths,science,english
1,A,Male,84,72,91
2,A,Male,55,88,63
3,A,Male,97,51,74
4,A,Male,66,82,59
5,A,Male,79,93,50
6,A,Male,58,61,85
7,A,Male,90,77,69
8,A,Male,53,99,81
9,A,Male,71,54,87
10,A,Male,62,80,95
11,A,Male,89,67,52
12,A,Male,75,94,60
13,A,Male,56,83,78
14,A,Male,92,57,71
15,A,Male,68,90,53
16,A,Male,81,59,96
17,A,Male,54,76,82
18,A,Male,98,64,55
19,A,Male,73,81,89
20,A,Male,60,95,67
21,A,Male,87,52,70
22,A,Male,51,86,94
23,A,Male,95,73,58
24,A,Male,69,50,83
25,A,Male,82,78,61
26,A,Male,59,92,75
27,A,Male,94,65,54
28,A,Male,77,53,88
29,A,Male,64,89,72
30,A,Male,85,71,97
31,A,Male,52,60,66
32,A,Male,99,87,79
33,A,Male,70,55,51
34,A,Male,83,96,84
35,A,Male,57,68,90
36,A,Male,91,58,73
37,A,Male,76,81,56
38,A,Male,63,94,82
39,A,Male,88,52,65
40,A,Male,50,75,91
41,A,Male,96,69,58
42,A,Male,72,83,77
43,A,Male,65,51,89
44,A,Male,80,97,52
45,A,Male,58,62,70
46,A,Male,93,74,85
47,A,Male,78,56,99
48,A,Male,61,85,64
49,A,Male,86,79,53
50,A,Male,55,50,76
51,A,Female,82,91,65
52,A,Female,67,54,78
53,A,Female,95,73,51
54,A,Female,58,88,94
55,A,Female,71,62,80
56,A,Female,90,57,55
57,A,Female,53,81,69
58,A,Female,79,96,87
59,A,Female,64,52,70
60,A,Female,86,75,59
61,A,Female,50,94,83
62,A,Female,92,61,56
63,A,Female,77,85,99
64,A,Female,59,50,72
65,A,Female,88,74,61
66,A,Female,61,97,54
67,A,Female,93,53,81
68,A,Female,56,82,90
69,A,Female,85,66,58
70,A,Female,72,55,93
71,A,Female,99,79,74
72,A,Female,54,87,52
73,A,Female,81,60,67
74,A,Female,68,95,85
75,A,Female,96,51,76
76,A,Female,57,70,92
77,A,Female,83,89,60
78,A,Female,60,56,84
79,A,Female,91,78,53
80,A,Female,75,92,66
81,A,Female,52,65,97
82,A,Female,89,58,71
83,A,Female,66,80,50
84,A,Female,94,93,89
85,A,Female,63,59,75
86,A,Female,80,71,57
87,A,Female,55,98,82
88,A,Female,97,64,68
89,A,Female,74,53,91
90,A,Female,62,84,77
91,A,Female,87,69,54
92,A,Female,51,76,86
93,A,Female,98,52,62
94,A,Female,70,85,95
95,A,Female,84,61,59
96,A,Female,58,90,73
97,A,Female,91,55,80
98,A,Female,76,72,51
99,A,Female,69,99,84
100,A,Female,85,57,63
101,B,Male,74,81,55
102,B,Male,92,67,88
103,B,Male,58,90,62
104,B,Male,81,53,79
105,B,Male,66,74,94
106,B,Male,90,56,51
107,B,Male,53,88,70
108,B,Male,79,61,85
109,B,Male,96,95,57
110,B,Male,60,52,82
111,B,Male,85,78,69
112,B,Male,51,93,54
113,B,Male,77,59,91
114,B,Male,94,82,66
115,B,Male,62,70,75
116,B,Male,89,55,98
117,B,Male,57,86,50
118,B,Male,70,97,83
119,B,Male,83,50,61
120,B,Male,55,71,89
121,B,Male,98,64,77
122,B,Male,69,85,53
